Trial 1, Volume = 824.62
Trial 871, Volume = 0.00

Trial 872, Volume = 0.00

Trial 873, Volume = 0.00

Trial 874, Volume = 0.00

Trial 875, Volume = 0.00

Trial 876, Volume = 0.00

Trial 877, Volume = 0.00

Trial 878, Volume = 0.00

Trial 879, Volume = 0.00

Trial 880, Volume = 0.00

Trial 881, Volume = 0.00

Trial 882, Volume = 0.00

Trial 883, Volume = 0.00

Trial 884, Volume = 0.00

Trial 885, Volume = 4343.59

Trial 886, Volume = 0.00

Trial 887, Volume = 0.00

Trial 888, Volume = 0.00

Trial 889, Volume = 0.00

Trial 890, Volume = 0.00

Trial 891, Volume = 0.00

Trial 892, Volume = 0.00

Trial 893, Volume = 0.00

Trial 894, Volume = 0.00

Trial 895, Volume = 0.00

Trial 896, Volume = 0.00

Trial 897, Volume = 0.00

Trial 898, Volume = 2620.77

Trial 899, Volume = 0.00

Trial 900, Volume = 0.00

Trial 901, Volume = 0.00

Trial 902, Volume = 0.00

Trial 903, Volume = 0.00

Trial 904, Volume = 0.00

Trial 905, Volume = 0.00

Trial 906, Volume = 357.97

Trial 907, Volume = 0.00

Trial 908, Volume = 0.00

Trial 909, Volume = 0.00

Trial 910, Volume = 0.00

Trial 911, Volume = 0.00

Trial 912, Volume = 0.00

Trial 913, Volume = 0.00

Trial 914, Volume = 0.00

Trial 915, Volume = 0.00

Trial 916, Volume = 0.00

Trial 917, Volume = 0.00

Trial 918, Volume = 0.00

Trial 919, Volume = 0.00

Trial 920, Volume = 0.00

Trial 921, Volume = 0.00

Trial 922, Volume = 0.00

Trial 923, Volume = 0.00

Trial 924, Volume = 0.00

Trial 925, Volume = 0.00

Trial 926, Volume = 0.00

Trial 927, Volume = 0.00

Trial 928, Volume = 0.00

Trial 929, Volume = 0.00

Trial 930, Volume = 891.00

Trial 931, Volume = 4516.99

Trial 932, Volume = 0.00

Trial 933, Volume = 0.00

Trial 934, Volume = 0.00

Trial 935, Volume = 0.00

Trial 936, Volume = 0.00

Trial 937, Volume = 0.00

Trial 938, Volume = 0.00

Trial 939, Volume = 0.00

Trial 940, Volume = 0.00

Trial 941, Volume = 0.00

Trial 942, Volume = 639.68

Trial 943, Volume = 36505.80

Trial 944, Volume = 0.00

Trial 945, Volume = 134.63

Trial 946, Volume = 0.00

Trial 947, Volume = 0.00

Trial 948, Volume = 0.00

Trial 949, Volume = 0.00

Trial 950, Volume = 0.00

Trial 951, Volume = 0.00

Trial 952, Volume = 369.25

Trial 953, Volume = 0.00

Trial 954, Volume = 0.00

Trial 955, Volume = 0.00

Trial 956, Volume = 0.00

Trial 957, Volume = 0.00

Trial 958, Volume = 0.00

Trial 959, Volume = 42.14

Trial 960, Volume = 0.00

Trial 961, Volume = 0.00

Trial 962, Volume = 0.00

Trial 963, Volume = 0.00

Trial 964, Volume = 0.00

Trial 965, Volume = 3338.26

Trial 966, Volume = 0.00

Trial 967, Volume = 0.00

Trial 968, Volume = 0.00

Trial 969, Volume = 0.00

Trial 970, Volume = 364.86

Trial 971, Volume = 18.86

Trial 972, Volume = 0.00

Trial 973, Volume = 0.00

Trial 974, Volume = 383.38

Trial 975, Volume = 876.99

Trial 976, Volume = 0.00

Trial 977, Volume = 0.00

Trial 978, Volume = 0.00

Trial 979, Volume = 0.00

Trial 980, Volume = 0.00

Trial 981, Volume = 0.00

Trial 982, Volume = 0.00

Trial 983, Volume = 0.00

Trial 984, Volume = 0.00

Trial 985, Volume = 0.00

Trial 986, Volume = 71.15

Trial 987, Volume = 410.74

Trial 988, Volume = 0.00

Trial 989, Volume = 481.27

Trial 990, Volume = 0.00

Trial 991, Volume = 0.00

Trial 992, Volume = 0.00

Trial 993, Volume = 0.00

Trial 994, Volume = 0.00

Trial 995, Volume = 257.91

Trial 996, Volume = 0.00

Trial 997, Volume = 0.00

Trial 998, Volume = 0.00

Trial 999, Volume = 3634.47

Trial 1000, Volume = 192.12
